play;lexicon;spoken, total;spoken positive;spoken positive, %;spoken negative;spoken negative, %;stage, total;stage positive;stage positive, %;stage negative;stage negative, %
khmelnitsky-vozdushnye-zamki;ChenSkiena;742;224;30.18867924528302;121;16.307277628032345;123;15;12.195121951219512;31;25.203252032520325
khmelnitsky-vozdushnye-zamki;ProductSentiRus;742;29;3.908355795148248;428;57.68194070080862;123;0;0.0;43;34.959349593495936
khmelnitsky-svetskiy-sluchay;RuSentiLex;813;157;19.311193111931118;130;15.990159901599016;86;4;4.651162790697675;1;1.1627906976744187
khmelnitsky-svetskiy-sluchay;EmoLex;813;244;30.01230012300123;66;8.118081180811808;86;6;6.976744186046512;5;5.813953488372093
khmelnitsky-svetskiy-sluchay;LinisCrowd;813;113;13.899138991389915;97;11.931119311193111;86;0;0.0;5;5.813953488372093
khmelnitsky-svetskiy-sluchay;ChenSkiena;813;271;33.33333333333333;95;11.685116851168512;86;6;6.976744186046512;14;16.27906976744186
khmelnitsky-svetskiy-sluchay;ProductSentiRus;813;33;4.059040590405904;478;58.794587945879464;86;0;0.0;36;41.86046511627907
chekhov-tragik-ponevole;RuSentiLex;38;10;26.31578947368421;14;36.84210526315789;16;0;0.0;3;18.75
chekhov-tragik-ponevole;EmoLex;38;18;47.368421052631575;6;15.789473684210526;16;2;12.5;0;0.0
chekhov-tragik-ponevole;LinisCrowd;38;7;18.421052631578945;16;42.10526315789473;16;0;0.0;3;18.75
chekhov-tragik-ponevole;ChenSkiena;38;13;34.21052631578947;8;21.052631578947366;16;3;18.75;3;18.75
chekhov-tragik-ponevole;ProductSentiRus;38;1;2.631578947368421;27;71.05263157894737;16;0;0.0;10;62.5
chekhov-svadba;RuSentiLex;185;37;20.0;49;26.486486486486488;96;3;3.125;9;9.375
chekhov-svadba;EmoLex;185;80;43.24324324324324;23;12.432432432432433;96;11;11.458333333333332;4;4.166666666666666
chekhov-svadba;LinisCrowd;185;36;19.45945945945946;37;20.0;96;7;7.291666666666667;8;8.333333333333332
chekhov-svadba;ChenSkiena;185;86;46.48648648648649;23;12.432432432432433;96;6;6.25;9;9.375
chekhov-svadba;ProductSentiRus;185;5;2.7027027027027026;131;70.8108108108108;96;0;0.0;31;32.29166666666667
chekhov-tri-sestry;RuSentiLex;1036;190;18.33976833976834;216;20.84942084942085;653;35;5.359877488514548;92;14.088820826952528
chekhov-tri-sestry;EmoLex;1036;340;32.818532818532816;102;9.845559845559846;653;70;10.719754977029096;48;7.3506891271056665
chekhov-tri-sestry;LinisCrowd;1036;190;18.33976833976834;171;16.505791505791507;653;69;10.566615620214396;62;9.494640122511486
chekhov-tri-sestry;ChenSkiena;1036;377;36.38996138996139;150;14.478764478764477;653;99;15.160796324655438;60;9.188361408882082
chekhov-tri-sestry;ProductSentiRus;1036;34;3.2818532818532815;727;70.17374517374517;653;7;1.0719754977029097;366;56.04900459418071
